id,dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst
21,58.674237966537476,udp,-,-,25,0,3100,0,0.4260813751728273,255.0,0,422.67272417144466,0.0,1,1,2.4447599152723947,0,1.539184133702358,0,0,0,0,0,0,0,0,124.0,0,0,0,4,4,12,4,4,4,0,0,4,12
22,59.23997902870178,tcp,-,-,156,184,8478,31374,5.73936732548926,128.0,54.0,1144.9024984823047,4236.868481644707,1,1,0.38185523863761656,0.3237154210200075,0.3813354499095186,0.3556651586981177,514,2438772105,1120259034,10,0,0,0,54.34615384615385,170.5108695652174,0,0,87,50,50,87,50,50,0,0,87,50
23,54.0677969455719,udp,-,-,63,0,11740,0,1.1652037545272989,1.0,0,1737.0783591302209,0.0,1,1,0.8720612410576113,0,1.4091314430072077,0,0,0,0,0,0,0,0,186.34920634920636,0,0,0,5,5,12,5,5,5,0,0,5,12
24,50.33320999145508,tcp,-,-,24,27,23535,4715,1.0132475160765253,128.0,118.96296296296296,3740.6714181742777,749.4058099295398,1,1,2.1865639168283213,1.9342519961870634,2.771591809228208,2.7082505244536206,511,2786992870,2544036360,16385,0,0,0,980.625,174.62962962962962,0,0,87,8,8,87,8,8,0,0,87,8
25,52.7057249546051,tcp,-,-,37,64,24783,10813,1.9163003656052593,128.0,120.0,3761.716590954071,1641.2638299635382,1,1,1.4638062450620863,0.8365988088032555,3.351218535450078,2.620966313451213,510,38598332,2432215769,1206,0,0,0,669.8108108108108,168.953125,0,0,87,26,26,87,26,26,0,0,87,26
26,29.190147876739502,udp,-,-,6,0,558,0,0.20554880452596705,1.0,0,152.92831056731947,0.0,1,1,5.838029575347901,0,5.533768909295812,0,0,0,0,0,0,0,0,93.0,0,0,0,0,5,12,0,0,0,0,0,0,12
27,28.884692907333374,udp,-,-,5,0,1908,0,0.17310206537562245,255.0,0,528.4459851787002,0.0,1,1,7.2211732268333435,0,2.3722546981728003,0,0,0,0,0,0,0,0,381.6,0,0,0,0,4,12,0,0,0,0,0,0,12
28,15.357809066772461,udp,-,-,13,0,2821,0,0.8464749069010291,20.53846153846154,0,1469.4804383801866,0.0,1,1,1.2798174222310383,0,1.7117718199776049,0,0,0,0,0,0,0,0,217.0,0,0,0,3,3,12,3,3,3,0,0,3,12
29,0.04677700996398926,tcp,-,-,2,2,147,153,85.51209243770292,128.0,120.0,25140.55517668466,26166.700285937095,1,1,0.04677700996398926,0.0,0,0,510,3508375003,2796113717,256,0,0,0,73.5,76.5,0,0,87,26,0,87,0,0,0,0,87,0
30,0.04684805870056152,tcp,-,-,2,1,147,93,64.03680500776102,128.0,57.0,25102.427563042318,15881.127641924732,1,1,0.04684805870056152,0,0,0,509,3775123229,383717290,277,0,0,0,73.5,93.0,0,0,87,3,3,87,3,3,0,0,87,3
